thscode,security_name
688692.SH,达梦数据
688702.SH,盛科通信
688708.SH,佳驰科技
688709.SH,成都华微
688728.SH,格科微
688772.SH,珠海冠宇
688777.SH,中控技术
688778.SH,厦钨新能
688819.SH,天能股份
689009.SH,九号公司
000009.SZ,中国宝安
000021.SZ,深科技
000027.SZ,深圳能源
000032.SZ,深桑达A
000034.SZ,神州数码
000039.SZ,中集集团
000050.SZ,深天马A
000060.SZ,中金岭南
000062.SZ,深圳华强
000088.SZ,盐田港
000155.SZ,川能动力
000400.SZ,许继电气
000415.SZ,渤海租赁
000423.SZ,东阿阿胶
000429.SZ,粤高速A
000513.SZ,丽珠集团
000519.SZ,中兵红箭
000528.SZ,柳工
000537.SZ,绿发电力
000539.SZ,粤电力A
000559.SZ,万向钱潮
000582.SZ,北部湾港
000591.SZ,太阳能
000598.SZ,兴蓉环境
000623.SZ,吉林敖东
000629.SZ,钒钛股份
000661.SZ,长春高新
000683.SZ,博源化工
000703.SZ,恒逸石化
000709.SZ,河钢股份
000723.SZ,美锦能源
000728.SZ,国元证券
000729.SZ,燕京啤酒
000733.SZ,振华科技
000737.SZ,北方铜业
000738.SZ,航发控制
000739.SZ,普洛药业
000750.SZ,国海证券
000783.SZ,长江证券
000785.SZ,居然智家
000786.SZ,北新建材
000800.SZ,一汽解放
000825.SZ,太钢不锈
000830.SZ,鲁西化工
000831.SZ,中国稀土
000878.SZ,云南铜业
000883.SZ,湖北能源
000887.SZ,中鼎股份
000893.SZ,亚钾国际
000898.SZ,鞍钢股份
000921.SZ,海信家电
000932.SZ,华菱钢铁
000937.SZ,冀中能源
000951.SZ,中国重汽
000959.SZ,首钢股份
000960.SZ,锡业股份
000967.SZ,盈峰环境
000983.SZ,山西焦煤
000987.SZ,越秀资本
000997.SZ,新大陆
001203.SZ,大中矿业
001221.SZ,悍高集团
001286.SZ,陕西能源
001309.SZ,德明利
001386.SZ,马可波罗
001389.SZ,广合科技
001696.SZ,宗申动力
002007.SZ,华兰生物
002008.SZ,大族激光
002025.SZ,航天电器
002032.SZ,苏泊尔
002044.SZ,美年健康
002056.SZ,横店东磁
002064.SZ,华峰化学
002065.SZ,东华软件
002078.SZ,太阳纸业
002085.SZ,万丰奥威
002120.SZ,韵达股份
002126.SZ,银轮股份
002130.SZ,沃尔核材
002131.SZ,利欧股份
002138.SZ,顺络电子
002152.SZ,广电运通
002153.SZ,石基信息
002155.SZ,湖南黄金
002157.SZ,正邦科技
002185.SZ,华天科技
002195.SZ,岩山科技
002203.SZ,海亮股份
002223.SZ,鱼跃医疗
002244.SZ,滨江集团
002252.SZ,上海莱士
002261.SZ,拓维信息
002262.SZ,恩华药业
002265.SZ,建设工业
002266.SZ,浙富控股
002271.SZ,东方雨虹
002273.SZ,水晶光电
002281.SZ,光迅科技
002299.SZ,圣农发展
002312.SZ,川发龙蟒
002318.SZ,久立特材
002335.SZ,科华数据
002340.SZ,格林美
002402.SZ,和而泰
002407.SZ,多氟多
002409.SZ,雅克科技
002410.SZ,广联达
002414.SZ,高德红外
002423.SZ,中粮资本
002429.SZ,兆驰股份
